"id","headline","datatype","forebear","timetype","editstatus","maplvllo","maplvlhi","timelvllo","timelvlhi","maptype","st_npoints","geometrytype"
"18855","Ottoman Empire","2","14145","3","4","14","18","5","6","2","126","POLYGON"
"18994","(Portugal)","2","14898","3","4","14","18","5","6","2","7","POLYGON"
"18873","(Portugal)","2","14898","3","4","14","18","5","6","2","33","POLYGON"
"19038","Ptolemy","2","13908","3","4","14","18","5","6","2","6","POLYGON"
"19040","Ptolemy","2","13908","3","4","14","18","5","6","2","6","POLYGON"
"18919","Ptolemy","2","13908","3","4","14","18","5","6","2","36","POLYGON"
"18917","Ptolemy","2","13908","3","4","14","18","5","6","2","64","POLYGON"
"19106","Rome","2","13964","3","4","14","18","5","6","2","41","POLYGON"
"19107","Rome","2","13964","3","4","14","18","5","6","2","60","POLYGON"
"19105","Rome","2","13964","3","4","14","18","5","6","2","57","POLYGON"
"19005","Russia","3","11378","3","4","14","18","5","6","2","25","POLYGON"
"18884","Russia","3","11378","3","4","14","18","5","6","2","408","POLYGON"
"18819","Russia","3","11378","3","4","14","18","5","6","2","444","POLYGON"
"18940","Russia","3","11378","3","4","14","18","5","6","2","25","POLYGON"
"18840","Russian Empire","2","11378","3","4","14","18","5","6","2","350","POLYGON"
"18961","Russian Empire","2","11378","3","4","14","18","5","6","2","25","POLYGON"
"19036","Scyths","2","13781","3","4","14","18","5","6","2","13","POLYGON"
"18916","Scyths","2","13781","3","4","14","18","5","6","2","42","POLYGON"
"19025","Scyths","2","13781","3","4","14","18","5","6","2","13","POLYGON"
"19096","Scyths","2","13781","3","4","14","18","5","6","2","5","POLYGON"
"19037","Scyths","2","13781","3","4","14","18","5","6","2","22","POLYGON"
"19082","Scyths","2","13781","3","4","14","18","5","6","2","13","POLYGON"
"18904","Scyths","2","13781","3","4","14","18","5","6","2","31","POLYGON"
"18915","Scyths","2","13781","3","4","14","18","5","6","2","34","POLYGON"
"19001","Srivijaya Empire","2","14816","3","4","14","18","5","6","2","18","POLYGON"
"18880","Srivijaya Empire","2","14816","3","4","14","18","5","6","2","21","POLYGON"
"18876","Turkey","3","10394","3","4","14","18","5","6","2","78","POLYGON"
"18997","Turkey","3","10394","3","4","14","18","5","6","2","11","POLYGON"
"18962","USSR","3","11378","3","4","14","18","5","6","2","25","POLYGON"
"18841","USSR","3","11378","3","4","14","18","5","6","2","408","POLYGON"
"19035","X7","2","13665","3","4","14","18","5","6","2","6","POLYGON"
"18914","X7","2","13665","3","4","14","18","5","6","2","15","POLYGON"
"14652","Achaemenid Dynasty","2","14428","3","5","14","18","5","6","2","1","POINT"
"14712","Ahmad Hasan","7","10416","3","5","1","18","5","5","2","1","POINT"
"14733","Ahmed Fuad I","7","3","3","5","1","18","5","5","2","1","POINT"
"14738","Ahmed Fuad I","7","3","3","5","1","18","5","5","2","1","POINT"
"13880","Alexander the Great","2","6","3","5","14","18","5","6","2","1","POINT"
"968515","al-Maliki","7","10416","3","5","1","18","5","5","2","1","POINT"
"14697","Ancient Egypt","2","3","3","5","14","18","7","7","2","1","POINT"
"14736","Anwar Sadat","7","3","3","5","1","18","5","5","2","1","POINT"
"14432","Arab Caliphates","2","14432","3","5","14","18","5","7","2","1","POINT"
"11344","Austrailia","2","11344","3","5","14","18","5","6","2","1","POINT"
"14746","Balfour Declaration","8","14746","2","5","12","18","4","5","2","1","POINT"
"14745","British Discover Oil in Egypt","8","14745","2","5","12","18","4","5","2","1","POINT"
"14011","Byzantine Empire","2","14011","3","5","14","18","5","6","2","1","POINT"
"10248","Canada","2","10248","3","5","14","18","5","6","2","1","POINT"
"10646","Chiloe (Chile)","2","10646","3","5","14","18","5","6","2","1","POINT"
"14747","Churchill Named Colonial Secretary","8","14747","2","5","12","18","4","5","2","1","POINT"
"14791","Classical","2","6","3","5","14","18","5","6","2","1","POINT"
"14879","Denmark","2","14879","3","5","14","18","5","6","2","1","POINT"
"14010","Eastern Roman Empire","2","14010","3","5","14","18","5","6","2","1","POINT"
"10439","Egypt","2","3","3","5","14","18","5","6","2","1","POINT"
"3","Egypt","2","3","3","5","14","18","5","6","2","1","POINT"
"10298","Estonia","2","10298","3","5","14","18","5","6","2","1","POINT"
"14709","Faisal I","7","10416","3","5","1","18","5","5","2","1","POINT"
